CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
1357,4ZXHSHXL7X,,Z,interview,02.03.23 09:41,1,0,1,1,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,,,,,,,,,,,,,,,,,,,,
1375,5SHVG574PG,,Z,interview,02.03.23 12:23,1,0,1,1,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,5SHVG574PG,,,,,,,,,,,,,,,,,,,
1380,H48QW48XRU,,Z,interview,03.03.23 09:38,1,0,1,1,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,H48QW48XRU,,,,,,,,,,,,,,,,,,,
1905,5SHVG574PG,,V0-2,interview,22.01.24 13:35,1,0,9,9,0,0,1.11,06.07.20,3,3,1,13,94,1,1,,1,,4,1,,21:00,06:30,21:00,07:30,2,1,1,1,1,1,1,1,203,,2,3,13,1,3,1,1,1,2,3,3,8,Minijob,4,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,5SHVG574PG,"russisch, deutsch",,,,,,,,,,,,,,,,,,
1906,5SHVG574PG,,Vx1-2,interview,22.01.24 13:42,1,0,3,3,0,0,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,Admin,5SHVG574PG,,,,,,,,,,,,,,,,,,,
1913,WC8YPRREPK,,Vx1-2,interview,24.01.24 23:55,0,0,3,3,0,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,01.02.22,1,2,,,,,,,,,,,,,,,,,,Admin,WC8YPRREPK,,,,,,,,,,,,,,,,,,,
1916,H48QW48XRU,,V0-2,interview,25.01.24 14:12,1,0,9,9,0,0,0.82,04.06.18,3,2,2,16,115,1,2,Trisomie21,2,Asthma,4,1,,21:00,07:30,21:00,07:30,2,2,1,1,1,2,2,2,141,,2,3,10,1,3,1,1,1,2,5,1,7,,4,,-1,18.04.21,3,2,12,100,2,1,1,,1,,4,1,,21:00,07:30,21:00,07:30,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,H48QW48XRU,rumänisch,,,,,,,,,,,,,,,,,,
1917,H48QW48XRU,,Vx1-2,interview,25.01.24 14:26,1,0,4,4,0,0,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,-1,1,1,1,1,1,1,1,1,1,3,2,1,04.06.18,2,2,18.05.21,2,2,-1,1,1,1,1,1,1,1,1,1,3,2,1,1,Admin,H48QW48XRU,,,,,,,,,,,,,,,,,,,
2226,WC8YPRREPK,,V0-2,interview,08.02.24 10:56,0,0,1,2,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin,WC8YPRREPK,,,,,,,,,,,,,,,,,,,
1381,ZAPSPFS66V,,Z,interview,03.03.23 09:46,1,0,1,1,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,ZAPSPFS66V,,,,,,,,,,,,,,,,,,,
