"kindergarten_ID","week_number","water_applications","herbs","exercise","nutrition","order_of_life","AD_PS_arm_pouring","AD_PS_foot_pouring","AD_PS_face_pouring","AD_PS_hand_bath","AD_PS_arm_bath","AD_PS_foot_bath","AD_PS_knee_pouring","AD_PS_leg_pouring","AD_PS_dew_snow_treading","AD_PS_air_bath","AD_PS_alternating_bath","AD_E_arm_pouring","AD_E_foot_pouring","AD_E_face_pouring","AD_E_hand_bath","AD_E_arm_bath","AD_E_foot_bath","AD_E_knee_pouring","AD_E_leg_pouring","AD_E_dew_snow_treading","AD_E_air_bath","AD_E_alternating_bath","AD_C_arm_pouring","AD_C_foot_pouring","AD_C_face_pouring","AD_C_hand_bath","AD_C_arm_bath","AD_C_foot_bath","AD_C_knee_pouring","AD_C_leg_infusion","AD_C_dew_snow_treading","AD_C_air_bath","AD_C_alternating_bath"
"MZA1",1,3,0,5,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"MTB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RGB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MZA1",2,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,5,2,2,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
"MTB1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBB1",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
"RGB1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MZA1",3,3,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,0,0,0,0,1
"MTB1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
